Model,MVE (mm),P90 (mm),Chamfer (mm),Hausdorff (mm),IoU,Normal Cons,Cls Acc,Avg Strain,Max Strain,Collision (mm),Body Gen ×,Fabric Gen ×,MVE Std,N Samples,Gen Gap (mm),Zero BL (mm),Mean BL (mm),Beats Zero,Beats Mean,★ Best in
model_v3_master_bend,12.624,18.968,5.509,29.607,0.658,0.908,0.148,0.117,13.985,—,5.217,0.326,—,—,—,83.97,82.48,✓,✓,"Chamfer, IoU"
model_v3_master_laplacian,12.043,18.633,5.587,30.314,0.652,0.909,0.074,0.113,13.636,—,4.581,0.347,—,—,—,83.97,82.48,✓,✓,Max Strain
model_v3_norm_8x,11.836,18.015,5.671,29.23,0.644,0.905,0.12,0.12,13.686,—,4.171,0.367,—,—,—,83.97,82.48,✓,✓,"P90, Hausdorff, Body Gen×"
model_v4_5_lora_patch,14.48,21.66,5.85,33.388,0.644,0.918,0.309,0.097,13.733,—,7.313,0.28,14.795,540,—,83.97,82.48,✓,✓,"Normal Cons, Cls Acc, Avg Strain, Fabric Gen×"
model_v4_lora_cls_bend,14.45,21.62,5.913,33.089,0.637,0.908,0.0,0.114,15.842,—,5.86,0.309,13.356,540,—,83.97,82.48,✓,✓,
model_v3_midpoint_collision,11.829,18.191,5.51,29.905,0.654,0.908,0.104,0.117,13.834,—,4.404,0.352,—,—,—,83.97,82.48,✓,✓,MVE
